path,language,extension,physical_lines,blank_lines,comment_lines,code_lines,category
archive/diagnostics/discovery_handshake_probe.py,Python,.py,186,25,4,157,legacy/archived
archive/diagnostics/serial_monitor_test.py,Python,.py,286,31,1,254,legacy/archived
archive/diagnostics/serial_pipeline_tester.py,Python,.py,100,19,0,81,legacy/archived
archive/diagnostics/temp_serial_port_info.py,Python,.py,13,1,0,12,legacy/archived
archive/diagnostics/tmp_serial_dtr_test.py,Python,.py,46,5,2,39,legacy/archived
archive/diagnostics/tmp_serial_handler_probe.py,Python,.py,50,6,1,43,legacy/archived
archive/diagnostics/tmp_serial_probe.py,Python,.py,20,1,0,19,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/main_qt.py,Python,.py,35,11,8,16,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/main_window.py,Python,.py,128,24,5,99,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/attendance_page.py,Python,.py,63,11,13,39,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/dashboard_page.py,Python,.py,56,14,40,2,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/logs_page.py,Python,.py,27,6,6,15,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/reports_page.py,Python,.py,38,8,29,1,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/settings_page.py,Python,.py,65,13,4,48,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/pages/students_page.py,Python,.py,61,12,4,45,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/widgets/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/widgets/sidebar.py,Python,.py,45,11,1,33,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/widgets/stat_card.py,Python,.py,27,7,0,20,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/workers/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign/gui_qt/workers/serial_worker.py,Python,.py,95,18,24,53,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/__init__.py,Python,.py,0,0,0,0,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/main_qt.py,Python,.py,35,11,8,16,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/main_window.py,Python,.py,182,31,16,135,legacy/archived
archive/legacy-ui/gui_qt_redesign_2/gui_qt/pages/__init__.py,Python,.py,0,0,0,0,legacy/archived
